,ScientificName
206,Lysimachia thyrsiflora
207,Maianthemum trifolium 
208,Malaxis monophyllos
209,Marchantia polymorpha
210,Mentha arvensis
211,Menyanthes trifoliata
212,Mertensia paniculata
213,Moehringia lateriflora
214,Moneses uniflora
215,Moss
216,Myrica gale
217,Myriophyllum sp.
218,Myriophyllum spicatum
219,N/A
220,N/A - Bare ground
221,N/A - dead wood
222,Nuphar lutea
223,Nuphar sp.
224,Nymphaea tetragona
225,Orthilia secunda
226,Parnassia palustris
227,Pedicularis labradorica
228,Pedicularis parviflora
229,Pedicularis verticillata
230,Peltigera aphthosa
231,Peltigera sp.
232,Persicaria amphibia
233,Persicaria lapathifolia
234,Persicaria perfoliata
235,Petasites frigidus
236,Petasites sagittatus
237,Picea glauca
238,Picea mariana
239,Pinguicula vulgaris
240,Plantago major
241,Platanthera hyperborea
242,Platanthera obtusata
243,Poa artica
244,Poa glauca
245,Poa palustris
246,Poa pratensis
247,Poaceae sp.
248,Polemonium boreale
249,Polygonum amphibium
250,Polygonum lapathifolium
251,Polygonum pensylvanicum
252,Polygonum viviparum
253,Populus balsamifera
254,Populus deltoides
255,Populus tremuloides
256,Potamogeton friesii
257,Potamogeton gramineus
258,Potamogeton perfoliatus
259,Potamogeton praelongus
260,Potamogeton pusillus
261,Potamogeton sp.
262,Potamogeton zosteriformis
263,Potentilla anserina anserina
264,Potentilla gracilis
265,Potentilla hookeriana
266,Potentilla norvegica
267,Potentilla pensylvanica
268,Primula incana
269,Pyrola asarifolia
270,Pyrola chlorantha
271,Pyrola grandiflora
272,Pyrola minor
273,Pyrola sp.
274,Ranunculus gmelinii
275,Ranunculus lapponicus
276,Ranunculus macounii
277,Ranunculus pensylvanicus
278,Ranunculus sceleratus
279,Ranunculus sp.
280,Rhinanthus minor
281,Ribes hudsonianum
282,Ribes triste
283,Rorippa islandica
284,Rorippa palustris
285,Rosa acicularis
286,Rubus arcticus
287,Rubus chamaemorus
288,Rubus idaeus
289,Rubus pubescens
290,Rubus X aculifer
291,Rumex aquaticus
292,Rumex arcticus
293,Rumex crispa
294,Rumex maritimus
295,Rumex occidentalis
296,Sagittaria cuneata
297,Salix alaxensis
298,Salix arbusculoides
299,Salix athabascensis
300,Salix barrattiana
301,Salix bebbiana
302,Salix boothii
303,Salix candida
304,Salix glauca
305,Salix hastata
306,Salix interior
307,Salix lanata
308,Salix lucida
309,Salix myrsinites
310,Salix myrtillifolia
311,Salix niphoclada
312,Salix pseudomonticola
313,Salix pseudomyrsinites
314,Salix pulchra
315,Salix richardsonii
316,Salix scouleriana
317,Salix sitchensis
318,Salix sp.
319,Sanguisorba officinalis
320,Saxifraga nivalis
321,Scheuchzeria palustris
322,Schoenoplectus tabernaemontani
323,Scirpus lacustris
324,Scirpus sp.
325,Scolochloa festucacea
326,Scutellaria galericulata
327,Senecio congestus
328,Senecio sp.
329,Shepherdia canadensis
330,Sisyrinchium montanum
331,Sium suave
332,Solidago canadensis
333,Solidago multiradiata
334,Solidago simplex
335,Sparganium angustifolium
336,Sparganium natans
337,Sparganium sp.
338,Sphagnum sp.
339,Spiranthes romanzoffiana
340,Stachys palustris
341,Stellaria calycantha
342,Stellaria crassifolia
343,Stellaria longifolia
344,Stellaria longipes
345,Stellaria media
346,Stellaria sp.
347,Stuckenia filiformis
348,Stuckenia pectinata
349,Stuckenia vaginata
350,Suaeda occidentalis
351,Symphyotrichum boreale
352,Symphyotrichum ciliatum
353,Symphyotrichum puniceum
354,Taraxacum officinale
355,Tilingia ajanensis
356,Triantha glutinosa
357,Trichophorum alpinum
358,Triglochin
359,Triglochin maritimum
360,Triglochin palustre
361,Typha lateralis
362,Typha latifolia
363,Typha sp.
364,unidentified aquatic grass
365,Unknown
366,Unknown Fabaceae sp.
367,Unknown forb
368,Unknown graminoid
369,Unknown Rumex spp.
370,Unknown rush
371,Unknown shrub
372,Urtica dioica
373,Utricularia intermedia
374,Utricularia macrorhiza
375,Utricularia minor
376,Utricularia sp.
377,Vaccinium angustifolium
378,Vaccinium oxycoccos
379,Vaccinium uliginosum
380,Vaccinium vitis-idaea
381,Valeriana capitata
382,Veronica americana
383,Viburnum edule
384,Wilhelmsia physodes
385,Zigadenus elegans
